tag,pattern,response
greeting,Halo selamat datang,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Hai apa ada yang bisa dibantu,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Hei saya butuh bantuan,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Selamat pagi boleh tanya,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Selamat siang ada yang bisa bantu,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Halo saya ingin bertanya,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Hai saya mau konsultasi,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Hei DiaBites apa kabar,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Halo bisa bantu saya tidak,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Selamat pagi DiaBites,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Hai saya ingin tahu sesuatu,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Halo saya punya pertanyaan,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Hei mau tanya tentang gizi,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Assalamualaikum DiaBites,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Selamat pagi mau tanya sesuatu,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Halo saya baru pertama pakai DiaBites,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Hai bisa bantu saya pilih produk,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Halo mau tanya soal diabetes,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Hei saya ingin tahu tentang DiaBites,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Halo sudah lama tidak buka DiaBites,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Halo mau konsultasi gizi,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
farewell,Terima kasih,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Makasih,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Sampai jumpa,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Bye,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Sudah cukup,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Oke terima kasih,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Terima kasih banyak,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Oke thanks,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Sudah paham makasih,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Terima kasih infonya,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Oke selesai,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Sudah mengerti terima kasih,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Makasih ya sudah bantu,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Oke cukup sekian,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Oke sudah paham,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Terima kasih atas infonya,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Makasih banyak ya,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Oke sudah jelas,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Terima kasih sudah membantu,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Oke nanti saya coba,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Baik terima kasih banyak,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Oke sip terima kasih,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Makasih sudah menjelaskan,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Oke sudah mengerti,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Terima kasih penjelasannya,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Oke bye DiaBites,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Makasih ya DiaBites,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Sudah cukup informasinya terima kasih,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Oke sudah dapat jawabannya,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
farewell,Terima kasih DiaBites,"Terima kasih sudah menggunakan DiaBites, Jangan lupa cek label gizi sebelum konsumsi ya."
app_feature_query,DiaBites itu aplikasi apa,DiaBites adalah PWA (Progressive Web App) untuk membantu penyandang diabetes membaca dan mengevaluasi label gizi produk kemasan secara cepat dan personal.
app_feature_query,Fitur apa saja yang ada di DiaBites,"Fitur utama DiaBites: (1) Scan/upload foto label gizi, (2) Input profil pengguna, (3) Analisis 5 komponen gizi otomatis, (4) Rekomendasi personal, (5) Edit manual hasil scan, (6) Ruang Berbagi komunitas."
app_feature_query,Cara menggunakan DiaBites,"Cara pakai DiaBites: (1) Lengkapi profil diabetes Anda, (2) Klik Scan dan foto label gizi kemasan, (3) Tunggu analisis otomatis, (4) Lihat hasil Recommended/Caution/Not Recommended."
app_feature_query,DiaBites gratis tidak,DiaBites dapat diakses langsung melalui browser tidak perlu download dan tidak berbayar.
app_feature_query,DiaBites bisa diakses dari HP,Ya! DiaBites adalah PWA yang bisa diakses dari browser HP maupun desktop. Bisa juga diinstal seperti aplikasi biasa.
app_feature_query,Cara install DiaBites di HP,"Buka diabitesapp.netlify.app di browser HP Anda, lalu pilih 'Tambahkan ke Layar Utama' atau 'Install App' yang muncul otomatis. DiaBites akan terinstal seperti aplikasi biasa."
app_feature_query,DiaBites PWA itu apa artinya,"PWA (Progressive Web App) artinya DiaBites bisa diakses lewat browser tapi terasa seperti aplikasi native bisa diinstal di HP, responsif, dan beberapa fitur bisa dipakai offline."
app_feature_query,DiaBites cocok untuk siapa,"DiaBites dirancang khususnya untuk penyandang diabetes (Tipe 1, Tipe 2, Gestasional) dan juga orang yang ingin menjaga pola makan sehat."
app_feature_query,Apakah data saya aman di DiaBites,Data profil Anda disimpan untuk keperluan personalisasi rekomendasi gizi. DiaBites tidak membagikan data personal kepada pihak ketiga.
app_feature_query,DiaBites bisa untuk semua tipe diabetes,"Ya! DiaBites mendukung Diabetes Tipe 1, Tipe 2, Gestasional, dan juga pengguna tanpa diabetes yang ingin menjaga pola makan."
app_feature_query,Apakah DiaBites tersedia di Play Store,"DiaBites saat ini berbentuk PWA yang bisa diakses dan diinstal langsung dari browser, belum tersedia di Play Store atau App Store."
app_feature_query,Apa bedanya DiaBites dengan aplikasi diet biasa,"DiaBites khusus dirancang untuk diabetes mengevaluasi label gizi berdasarkan tipe diabetes dan profil tubuh Anda, bukan hanya menghitung kalori umum."
app_feature_query,DiaBites bisa dipakai tanpa internet,"Beberapa fitur dasar DiaBites dapat diakses offline karena berbasis PWA, namun fitur scan dan analisis membutuhkan koneksi internet."
app_feature_query,Siapa yang membuat DiaBites,DiaBites dikembangkan oleh Cohort dari Coding Camp 2026 powered by DBS Foundation sebagai solusi teknologi untuk membantu penyandang diabetes.
app_feature_query,Apa saja keunggulan DiaBites dibanding aplikasi lain,"DiaBites unggul karena: (1) Khusus untuk diabetes, (2) Rekomendasi personal berdasarkan tipe diabetes dan profil tubuh, (3) Berbasis OCR (scan) cukup foto label, (4) Gratis dan bisa diinstal dari browser."
app_feature_query,Bagaimana cara daftar akun DiaBites,"Buka diabitesapp.netlify.app di browser Anda, ikuti proses registrasi, lalu lengkapi profil tipe diabetes dan data tubuh Anda."
app_feature_query,Apakah DiaBites tersedia untuk iOS,DiaBites adalah PWA yang bisa diakses dari browser Safari di iPhone. Tambahkan ke layar utama untuk pengalaman seperti aplikasi native.
app_feature_query,DiaBites bisa dipakai di laptop atau komputer,Ya! DiaBites bisa diakses dari browser di laptop/komputer dan Handphone. Fitur scan bisa menggunakan webcam/kamera atau upload foto.
app_feature_query,Apakah DiaBites membutuhkan akun untuk digunakan,"Untuk fitur lengkap dan personalisasi rekomendasi, disarankan membuat akun. Beberapa fitur dasar mungkin bisa dicoba tanpa akun."
app_feature_query,Cara logout dari DiaBites,Cari menu Logout atau Keluar di bagian pengaturan atau profil akun DiaBites Anda.
app_feature_query,Apakah DiaBites bisa digunakan oleh keluarga penderita diabetes,Tentu! Keluarga penderita diabetes bisa menggunakan DiaBites untuk membantu memilihkan produk yang aman untuk anggota keluarga mereka.
app_feature_query,Apakah DiaBites mendukung bahasa Inggris,DiaBites saat ini dioptimalkan untuk pengguna Indonesia dengan label gizi format BPOM.
app_feature_query,Bagaimana cara melaporkan bug atau error di DiaBites,"Untuk melaporkan bug, gunakan fitur Feedback atau hubungi tim DiaBites melalui kontak yang tersedia di halaman utama."
app_feature_query,Apakah DiaBites akan terus diperbarui,DiaBites dikembangkan secara aktif oleh tim Cohort Coding Camp DBS Foundation. Pembaruan fitur dan peningkatan akurasi akan terus dilakukan.
app_feature_query,DiaBites bisa scan berapa produk per hari,Tidak ada batas jumlah scan per hari. Scan sebanyak yang Anda butuhkan!
app_feature_query,Apakah DiaBites menyimpan riwayat scan,"Ya, semua hasil scan tersimpan di riwayat akun Anda dan bisa diakses kapan saja."
app_feature_query,Cara melihat riwayat scan di DiaBites,Akses menu Riwayat atau History di dashboard DiaBites untuk melihat semua hasil scan sebelumnya.
app_feature_query,Apakah DiaBites bisa digunakan untuk anak-anak,"DiaBites dirancang untuk pengguna dewasa. Untuk anak-anak dengan diabetes, tetap konsultasikan kebutuhan gizi dengan dokter anak."
app_feature_query,Bagaimana cara menghapus akun DiaBites,"Untuk menghapus akun, akses pengaturan akun atau hubungi tim DiaBites melalui kontak yang tersedia."
app_feature_query,DiaBites bisa scan produk apa saja,DiaBites dapat scan label Informasi Nilai Gizi pada semua produk makanan dan minuman kemasan yang menggunakan format standar BPOM Indonesia.
scan_feature,Cara scan label gizi di DiaBites,"Klik tombol Scan di dashboard, arahkan kamera ke label Informasi Nilai Gizi pada kemasan, pastikan pencahayaan cukup, dan DiaBites akan otomatis mengekstrak datanya."
scan_feature,Cara upload foto label gizi,"Di halaman Scan, pilih opsi Upload Gambar, pilih foto label gizi dari galeri HP Anda, dan DiaBites akan memproses gambar tersebut."
scan_feature,Scan tidak berhasil apa yang harus dilakukan,"Jika scan gagal, coba: (1) Pastikan pencahayaan cukup, (2) Foto label dari jarak 15cm - 20cm, (3) Hindari bayangan, (4) Gunakan fitur Edit Manual sebagai alternatif."
scan_feature,Gambar terlalu blur saat scan,"Pastikan kamera fokus sebelum mengambil foto. Tekan layar pada area label untuk memfokuskan kamera, atau gunakan fitur Upload untuk foto yang sudah tersimpan."
scan_feature,DiaBites bisa baca semua format label gizi,"DiaBites dioptimalkan untuk label gizi format Indonesia (BPOM). Untuk label berbahasa asing dengan format berbeda, hasilnya mungkin kurang optimal."
scan_feature,Berapa lama proses analisis setelah scan,Proses analisis berlangsung beberapa detik setelah gambar berhasil diunggah. Hasilnya langsung ditampilkan di dashboard.
scan_feature,Bisa scan lebih dari satu produk,Ya! Anda bisa scan produk sebanyak yang diinginkan. Setiap hasil scan tersimpan di riwayat Anda.
scan_feature,Scan produk impor bisa tidak,DiaBites difokuskan pada label gizi format Indonesia. Produk impor dengan format label berbeda mungkin perlu input manual.
scan_feature,Cara scan produk dengan kemasan kecil,"Untuk kemasan kecil, coba zoom kamera HP Anda, pastikan label terbaca jelas, atau gunakan fitur Upload dengan foto yang sudah diperbesar."
scan_feature,Berapa resolusi foto minimal untuk scan,"Gunakan kamera HP standar dengan pencahayaan baik. Tidak ada syarat resolusi khusus, tapi pastikan teks label terbaca jelas."
scan_feature,Apakah hasil scan tersimpan otomatis,"Ya, setiap hasil scan otomatis tersimpan di riwayat akun Anda sehingga bisa dilihat kembali kapan saja."
scan_feature,Apakah scan bisa dilakukan saat belanja di toko?,"Bisa, keunggulan DiaBites dirancang untuk digunakan langsung saat belanja. Cukup buka browser dan scan label produk."
scan_feature,Apa yang terjadi jika label gizi tidak terdeteksi,"Jika label tidak terdeteksi, DiaBites akan meminta Anda mencoba ulang dengan foto yang lebih jelas, atau menggunakan fitur Input Manual."
scan_feature,Berapa jarak ideal untuk memfoto label gizi,"Jarak ideal sekitar 15cm - 25cm dari label, dengan pencahayaan yang cukup dan kamera dalam posisi lurus (tidak miring)."
scan_feature,Apakah flash HP perlu dinyalakan saat scan,"Flash bisa membantu jika pencahayaan kurang, tapi hindari flash langsung yang menyebabkan refleksi/glare pada kemasan mengkilap."
scan_feature,Scan bisa dilakukan di tempat yang gelap tidak,"Pencahayaan yang cukup sangat penting untuk akurasi scan. Di tempat gelap, nyalakan lampu atau gunakan flash HP Anda."
scan_feature,Apakah kemiringan foto mempengaruhi hasil scan,"Ya, foto yang terlalu miring bisa mengurangi akurasi scan (OCR). Usahakan memfoto label dari posisi lurus dan tegak lurus."
scan_feature,Kenapa tulisan pada label tidak terbaca dengan baik,"Kemungkinan penyebab: pencahayaan kurang, foto buram/blur, jarak terlalu jauh, atau label rusak/kusut. Coba ambil foto ulang atau gunakan Input Manual."
scan_feature,Apakah DiaBites bisa scan label yang tertutup sebagian,"Jika label tertutup sebagian, hasil scan mungkin tidak lengkap. Pastikan seluruh area label gizi terlihat jelas dalam frame foto."
scan_feature,Bisa scan label pada produk beku atau berembun,Embun pada kemasan bisa mengganggu scan. Keringkan kemasan terlebih dahulu sebelum memfoto label.
scan_feature,Cara scan label pada kemasan transparan,"Untuk kemasan transparan, cari sudut pencahayaan terbaik untuk menghindari bayangan. Atau pilih untuk input manual."
scan_feature,Apakah DiaBites bisa membaca barcode produk,"DiaBites difokuskan pada pembacaan label gizi teks, bukan barcode. Arahkan kamera ke area Informasi Nilai Gizi."
scan_feature,Kenapa hasil scan berbeda dengan yang tertulis di kemasan,"Jika ada perbedaan, gunakan fitur Edit Manual untuk mengoreksi nilai. Akurasi scan (OCR) dipengaruhi kualitas foto."
scan_feature,Bisa scan label dalam bahasa Inggris tidak,DiaBites dioptimalkan untuk label bahasa Indonesia format BPOM. Label bahasa Inggris mungkin memerlukan koreksi manual.
scan_feature,Tips foto label gizi yang bagus untuk scan DiaBites?,"Tips foto untuk scan optimal: (1) Cahaya cukup, hindari bayangan, (2) Jarak 15 - 20cm dari label, (3) Kamera tegak lurus tidak miring, (4) Pastikan semua teks terlihat jelas."
scan_feature,Kenapa hasil scan lebih akurat jika labelnya lurus?,Label yang difoto lurus (tidak miring) membantu OCR membaca teks lebih akurat karena karakter tidak terdistorsi.
scan_feature,Pencahayaan seperti apa yang paling baik untuk scan label?,"Cahaya alami atau lampu putih terang adalah yang terbaik. Hindari cahaya kuning redup, bayangan di atas label, atau flash langsung yang bisa membuat teks terlalu terang."
scan_feature,Scan label berembun pada produk beku bisa tidak?,Label berembun bisa mengurangi akurasi OCR. Keringkan dulu permukaan label atau gunakan fitur input manual jika hasil scan tidak akurat.
scan_feature,Label gizi pada kemasan plastik transparan sulit discan?,"Label transparan memang lebih sulit dibaca OCR. Coba letakkan latar belakang gelap di belakang kemasan, atau gunakan input manual."
scan_feature,Scan label yang ukurannya sangat kecil bisa tidak?,"Untuk label sangat kecil, coba zoom kamera lebih dekat atau gunakan fitur makro HP jika tersedia. Jika masih gagal, gunakan input manual."
scan_feature,Berapa jarak ideal HP dari label saat scan?,"Jarak ideal sekitar 15-25 cm dari label gizi. Terlalu dekat bisa blur, terlalu jauh teks terlalu kecil untuk dibaca OCR."
scan_feature,Kenapa scan lebih bagus dilakukan di toko langsung?,Scan di toko sebelum beli memungkinkan Anda membuat keputusan konsumsi yang tepat sebelum produk dikonsumsi - inti dari filosofi DiaBites.
scan_feature,Label gizi yang kusut atau terlipat bisa discan?,"Label kusut mengurangi akurasi scan. Coba ratakan kemasan sebelum scan, atau gunakan input manual jika OCR tidak terbaca dengan baik."
scan_feature,Scan produk impor labelnya bahasa Inggris bisa?,"OCR DiaBites difokuskan pada format label bahasa Indonesia (BPOM). Untuk label bahasa Inggris, gunakan input manual untuk hasil yang lebih akurat."
scan_feature,Bisa scan dari foto yang sudah ada di galeri,"Ya, gunakan fitur Upload Gambar untuk memproses foto label gizi yang sudah tersimpan di galeri HP Anda."
manual_edit,Cara edit manual hasil scan yang salah,"Setelah scan, tap pada nilai yang ingin diubah di halaman hasil. Anda bisa mengedit setiap field nutrisi secara manual jika hasil scan (OCR) kurang tepat."
manual_edit,Kenapa ada fitur edit manual,Fitur edit manual adalah fallback jika OCR kurang akurat karena kondisi foto. Anda tetap bisa input nilai gizi secara manual untuk mendapat rekomendasi.
manual_edit,Hasil OCR salah baca angka bagaimana,"Gunakan fitur Edit Manual, ketik ulang nilai yang benar dari kemasan. Rekomendasi akan dihitung ulang otomatis."
manual_edit,Bisa input nilai gizi tanpa scan,Ya! Anda bisa memilih mode Input Manual dari awal untuk mengetik langsung semua nilai gizi tanpa perlu foto.
manual_edit,Field apa saja yang bisa diedit,"Semua field utama bisa diedit: Takaran Saji, Kalori, Gula, Total Karbohidrat, Lemak Total, Lemak Jenuh, dan Natrium/Sodium."
manual_edit,Berapa lama waktu untuk input manual,Input manual biasanya hanya membutuhkan 1 - 2 menit karena field yang perlu diisi hanya 5 komponen utama gizi.
manual_edit,Field mana yang wajib diisi untuk input manual,"Field wajib: Takaran Saji, Kalori, Gula, Total Karbohidrat, Lemak Total, dan Natrium."
manual_edit,Bisa tidak input manual jika tidak tahu semua nilai gizi,"Isi field yang diketahui. DiaBites akan mengevaluasi berdasarkan data yang tersedia, meski hasil mungkin kurang lengkap."
manual_edit,Apakah ada panduan untuk input manual,Nilai gizi bisa ditemukan langsung di kemasan produk pada bagian 'Informasi Nilai Gizi'. Salin nilai tersebut ke field yang tersedia.
manual_edit,Cara input takaran saji yang berbeda dari yang dimakan,"Input nilai gizi sesuai takaran saji di kemasan, lalu atur jumlah konsumsi Anda. DiaBites akan menghitung nilai aktual berdasarkan jumlah yang dimakan."
manual_edit,Apakah edit manual mempengaruhi akurasi rekomendasi,"Ya, rekomendasi akan dihitung berdasarkan nilai yang Anda masukkan baik dari scan maupun edit manual. Pastikan nilai yang diinput sesuai kemasan."
user_profile,Cara mengisi profil di DiaBites,"Di halaman Profil, isi: Tipe Diabetes, Usia, Jenis Kelamin, Tinggi Badan, Berat Badan, dan Tingkat Aktivitas. Profil ini digunakan untuk personalisasi rekomendasi."
user_profile,Kenapa DiaBites perlu data profil saya,Profil digunakan untuk menghitung BMR/TDEE dan menyesuaikan batas aman setiap nutrisi berdasarkan kondisi tubuh dan tipe diabetes Anda.
user_profile,Bisa ganti tipe diabetes di profil,"Ya, Anda bisa mengubah profil kapan saja di halaman pengaturan profil, termasuk tipe diabetes."
user_profile,Apakah profil mempengaruhi hasil rekomendasi,"Ya, sangat berpengaruh. Batas aman gula, karbohidrat, kalori, sodium, dan lemak dihitung berbeda untuk setiap tipe diabetes dan kondisi tubuh."
user_profile,Saya tidak punya diabetes apa yang harus diisi di profil,Pilih 'Tidak ada' pada pilihan tipe diabetes. DiaBites tetap akan memberikan rekomendasi berdasarkan panduan gizi umum untuk orang sehat.
user_profile,Tingkat aktivitas apa saja yang tersedia di profil,"DiaBites menyediakan pilihan tingkat aktivitas: Sedentary (tidak aktif), Ringan, Sedang, Aktif, dan Sangat Aktif akan berpengaruh pada perhitungan TDEE."
user_profile,Apa yang terjadi jika profil tidak diisi lengkap,"Tanpa profil lengkap, rekomendasi DiaBites akan menggunakan nilai default dan mungkin kurang personal. Lengkapi profil untuk hasil terbaik."
user_profile,Berapa sering harus memperbarui profil,"Perbarui profil jika ada perubahan signifikan: berat badan berubah, tipe diabetes berubah, atau tingkat aktivitas berbeda."
user_profile,Apakah jenis kelamin mempengaruhi rekomendasi,"Ya, jenis kelamin mempengaruhi perhitungan BMR dan batas nutrisi harian, sehingga berpengaruh pada rekomendasi."
user_profile,Usia berapa yang bisa menggunakan DiaBites,"DiaBites dirancang untuk pengguna dewasa. Untuk remaja atau anak-anak dengan diabetes, tetap konsultasikan dengan dokter anak."
user_profile,Cara memilih tingkat aktivitas yang tepat di profil,"Sedentary (tidak olahraga), Ringan (olahraga 1 - 3x seminggu), Sedang (olahraga 3 - 5x seminggu), Aktif (olahraga 6 - 7x seminggu), Sangat Aktif (kerja fisik berat)."
user_profile,Apakah profil bisa dipakai bersama dengan anggota keluarga,Disarankan membuat akun terpisah untuk setiap anggota keluarga agar rekomendasi tetap personal dan akurat.
user_profile,Bagaimana jika saya tidak tahu tipe diabetes saya,"Jika belum didiagnosis, pilih 'Tidak ada'. Jika sudah didiagnosis tapi lupa tipenya, konsultasikan dengan dokter Anda."
user_profile,Apakah data profil bisa diedit kapan saja,"Ya, Anda bisa mengedit profil kapan saja melalui menu Profil atau Pengaturan di DiaBites."
user_profile,Kenapa berat dan tinggi badan perlu diisi,"Berat dan tinggi badan digunakan untuk menghitung BMI dan BMR, yang menjadi dasar estimasi kebutuhan kalori dan nutrisi harian Anda."
recommendation_result,Apa artinya hasil Recommended,Recommended berarti produk tersebut aman dikonsumsi sesuai profil diabetes dan kondisi tubuh Anda. Semua komponen gizi masih dalam batas aman.
recommendation_result,Apa artinya hasil Caution,Caution berarti satu atau lebih komponen gizi mendekati atau sedikit melebihi batas aman untuk profil Anda. Konsumsi dengan hati-hati dan perhatikan porsi.
recommendation_result,Apa artinya hasil Not Recommended,Not Recommended berarti dua atau lebih komponen gizi melebihi batas aman untuk profil Anda. Sebaiknya hindari atau konsumsi dalam porsi sangat terbatas.
recommendation_result,Produk Caution boleh dimakan tidak,"Caution tidak berarti dilarang total. Anda masih bisa mengonsumsinya dalam porsi sangat kecil, dengan mempertimbangkan asupan gizi dari makanan lain hari itu."
recommendation_result,Kenapa produk yang sama bisa beda hasil untuk orang lain,"Rekomendasi bersifat personal — dihitung berdasarkan tipe diabetes, BMR/TDEE, berat badan, usia, dan jumlah konsumsi masing-masing pengguna."
recommendation_result,Faktor apa yang menentukan hasil rekomendasi,"Lima komponen dievaluasi: Gula, Total Karbohidrat, Kalori, Sodium, dan Lemak — masing-masing dibandingkan dengan batas aman berdasarkan profil dan tipe diabetes Anda."
recommendation_result,Kenapa produk populer bisa Not Recommended,"Banyak produk kemasan populer mengandung gula, sodium, atau lemak jenuh tinggi yang melebihi batas aman untuk penderita diabetes. DiaBites membantu mengidentifikasi ini."
recommendation_result,Apakah rekomendasi DiaBites sudah divalidasi medis,"Rekomendasi DiaBites berbasis panduan ADA (American Diabetes Association) dan WHO, namun bersifat decision support — bukan pengganti saran dokter."
recommendation_result,Rekomendasi berubah jika porsi yang dimakan berbeda,"Ya! DiaBites menghitung nutrisi aktual berdasarkan jumlah yang Anda konsumsi, bukan hanya per sajian kemasan. Porsi lebih banyak bisa mengubah hasil."
recommendation_result,Bagaimana cara mendapat hasil Recommended lebih sering,"Pilih produk dengan gula rendah, sodium rendah, serat tinggi, dan karbohidrat kompleks. DiaBites akan membantu mengidentifikasi produk-produk tersebut."
recommendation_result,Apakah hasil rekomendasi berdasarkan satu sajian atau satu kemasan,"Rekomendasi dihitung berdasarkan jumlah yang Anda atur akan dikonsumsi, bukan otomatis per kemasan. Sesuaikan jumlah konsumsi untuk hasil akurat."
